,12 MÅNADER,,,
Områden,Antal sålda,Kr/kvm,Pris tkr,Prisutveckling (%)
Göteborg,8027,48 846,3 040,3.0
Centrala Göteborg,2251,61 165,3 881,2.6
Angered-Bergsjön,264,20 051,1 632,6.2
Askim-Frölunda-Högsbo,770,43 376,2 776,3.8
Centrum,1081,61 009,4 029,4.3
Kortedala-Nylöse,400,42 116,2 361,4.7
Lundby,1547,47 342,2 900,2.1
Majorna-Linné,1537,59 598,3 586,1.6
Norra Hisingen,781,30 790,2 084,11.3
Torslanda-Björlanda,159,41 566,3 189,10.5
Västra Göteborg,233,38 330,2 596,-3.1
Örgryte-Härlanda,1255,52 728,3 026,3.7