;;;;
;;;;
;Statistic as Excel data file;;;
;Global revenue of the Walt Disney Company in the fiscal years 2006 to 2017 (in billion U.S. dollars);;;
;Access data;;;
;;;;
;;;;
;Source;;;
;;;;
;Source;Walt Disney;;
;Conducted by;Walt Disney;;
;Survey period;October 2005 to September 2017;;
;Region;Worldwide;;
;Type of survey;n.a.;;
;Number of respondents;n.a.;;
;Age group;n.a.;;
;Special characteristics;n.a.;;
;Note;The Walt Disney Company reports its numbers based on fiscal years that end late September/early October of the corresponding calendar year. Figures other than for the fiscal years 2016 and 2017 come from Disney's previous financial reports. Figures have been rounded.;;
;;;;
;Publication;;;
;;;;
;Published by;Walt Disney;;
;Publication date;November 2017;;
;Original source;thewaltdisneycompany.com;;
;ID;273555;;